               epoch,Precision (Seed=0),Precision (Seed=42),Precision (Seed=1337),Precision (Mean),Recall (Seed=0),Recall (Seed=42),Recall (Seed=1337),Recall (Mean),F1_score (Seed=0),F1_score (Seed=42),F1_score (Seed=1337),F1_score (Mean)
0,0.39002,0.22564,0.23337,0.28301,0.44535,0.51004,0.66948,0.541623333,0.415852633,0.312868164,0.346096356,0.371764791
1,0.24307,0.41841,0.34993,0.337136667,0.66109,0.65696,0.66564,0.66123,0.355448474,0.511226152,0.458712654,0.446579169
2,0.45198,0.43575,0.40578,0.43117,0.59274,0.77046,0.65449,0.672563333,0.512877374,0.556665829,0.500964758,0.525469556
3,0.5222,0.48637,0.54568,0.518083333,0.74099,0.75746,0.66413,0.72086,0.61264731,0.592373267,0.599106402,0.602877535
4,0.4344,0.6286,0.54494,0.53598,0.7565,0.73127,0.61375,0.700506667,0.551891175,0.676059214,0.577301824,0.607297391
5,0.65915,0.5726,0.60896,0.61357,0.71345,0.76483,0.63806,0.705446667,0.685225947,0.654900306,0.623170467,0.656308479
6,0.72223,0.7377,0.76885,0.742926667,0.80286,0.81345,0.78833,0.801546667,0.760413586,0.773725384,0.778468155,0.771124215
7,0.7059,0.73062,0.74306,0.726526667,0.73728,0.77796,0.80208,0.77244,0.721248842,0.753547223,0.771442801,0.748780171
8,0.71127,0.73615,0.77652,0.741313333,0.79957,0.81993,0.79867,0.806056667,0.752839684,0.775784625,0.787439266,0.772330541
9,0.65702,0.73426,0.72587,0.705716667,0.67853,0.82205,0.79257,0.764383333,0.667601783,0.775678924,0.757755046,0.733879407
10,0.78714,0.73065,0.7509,0.75623,0.81733,0.81405,0.8219,0.81776,0.80195097,0.770098573,0.784797444,0.785792343
11,0.68078,0.75471,0.76158,0.732356667,0.77598,0.83292,0.83706,0.81532,0.725269316,0.791888605,0.797538101,0.771614705
12,0.76265,0.76725,0.74846,0.759453333,0.82217,0.81387,0.78769,0.80791,0.791292324,0.789872695,0.767574075,0.782932623
13,0.76677,0.77823,0.77445,0.77315,0.8503,0.82507,0.85056,0.841976667,0.806377622,0.800965791,0.810722632,0.806096851
14,0.67761,0.76882,0.79774,0.748056667,0.73564,0.82556,0.83592,0.79904,0.705433604,0.796180383,0.816383851,0.772708276
15,0.8008,0.77375,0.7403,0.771616667,0.8323,0.84516,0.84478,0.840746667,0.816246207,0.807880055,0.789096618,0.804699694
16,0.77661,0.75508,0.77294,0.76821,0.85718,0.8541,0.8514,0.854226667,0.814908354,0.80154343,0.810275085,0.808938162
17,0.71019,0.78145,0.74082,0.744153333,0.7676,0.8357,0.7636,0.788966667,0.737779852,0.807665047,0.752037532,0.76590505
18,0.77104,0.7731,0.78168,0.775273333,0.85584,0.84593,0.86045,0.854073333,0.811229929,0.807876918,0.819175773,0.812767833
19,0.78242,0.77416,0.77017,0.775583333,0.85237,0.85337,0.84731,0.851016667,0.815898477,0.811837471,0.80690054,0.811550895
20,0.79437,0.80246,0.76966,0.78883,0.8511,0.84637,0.84755,0.84834,0.821757075,0.823830316,0.806729284,0.817503426
