epoch,mAP50 (Seed=0),mAP50 (Seed=42),mAP50 (Seed=1337),mAP50 (mean),mAP50-95 (Seed=0),mAP50-95 (Seed=42),mAP50-95 (Seed=1337),mAP50-95 (mean)
1,0.4044,0.3155,0.1595,0.293133333,0.1167,0.08638,0.03896,0.08068
2,0.4519,0.616,0.5516,0.539833333,0.1406,0.2352,0.182,0.185933333
3,0.6538,0.6053,0.7003,0.653133333,0.2674,0.1938,0.2677,0.242966667
4,0.6203,0.7122,0.7357,0.6894,0.2679,0.2464,0.3599,0.2914
5,0.7575,0.671,0.8102,0.746233333,0.4068,0.3042,0.4437,0.3849
6,0.6524,0.7251,0.7296,0.702366667,0.2113,0.27,0.3552,0.278833333
7,0.7711,0.803,0.7093,0.761133333,0.3735,0.3442,0.3367,0.351466667
8,0.7972,0.7933,0.8066,0.799033333,0.4498,0.419,0.3903,0.4197
9,0.766,0.794,0.8065,0.788833333,0.4562,0.4621,0.4647,0.461
10,0.7205,0.8164,0.807,0.7813,0.3803,0.5019,0.5032,0.4618
11,0.8185,0.8273,0.7968,0.8142,0.5162,0.5246,0.4524,0.497733333
12,0.8016,0.7967,0.835,0.8111,0.5203,0.4611,0.5391,0.506833333
13,0.8423,0.8134,0.8285,0.828066667,0.5459,0.5267,0.512,0.5282
14,0.8341,0.8338,0.7745,0.814133333,0.549,0.5295,0.481,0.519833333
15,0.8271,0.8469,0.8565,0.8435,0.5309,0.5607,0.5552,0.548933333
16,0.8491,0.8461,0.8442,0.846466667,0.5694,0.5669,0.5423,0.559533333
17,0.8216,0.8251,0.8511,0.8326,0.5333,0.5533,0.552,0.5462
18,0.8631,0.8477,0.7962,0.835666667,0.5656,0.5744,0.5213,0.553766667
19,0.8346,0.8562,0.8023,0.831033333,0.5673,0.5505,0.5278,0.548533333
20,0.8568,0.7496,0.8588,0.821733333,0.5889,0.4979,0.5865,0.557766667
21,0.8577,0.7031,0.8624,0.807733333,0.5807,0.4322,0.5925,0.535133333
22,0.8503,0.7273,0.8453,0.807633333,0.5913,0.4728,0.5608,0.541633333
23,0.8323,0.8628,0.8677,0.854266667,0.5619,0.5931,0.5947,0.583233333
24,0.8465,0.8534,0.8597,0.8532,0.5843,0.5965,0.5956,0.592133333
25,0.8619,0.8606,0.8684,0.863633333,0.6004,0.5985,0.6013,0.600066667
26,0.8548,0.7168,0.8639,0.811833333,0.5946,0.4763,0.6079,0.5596
27,0.8622,0.8304,0.8755,0.856033333,0.605,0.569,0.6119,0.5953
28,0.8616,0.86,0.8756,0.865733333,0.6021,0.6055,0.6176,0.6084
29,0.872,0.874,0.8535,0.8665,0.616,0.6199,0.5939,0.609933333
30,0.8641,0.8387,0.8526,0.8518,0.6111,0.5889,0.5933,0.597766667
31,0.8769,0.8426,0.8797,0.8664,0.6245,0.5951,0.6244,0.614666667
32,0.787,0.8688,0.8661,0.840633333,0.5335,0.6251,0.6128,0.590466667
33,0.8434,0.8672,0.8137,0.841433333,0.5929,0.6166,0.5643,0.591266667
34,0.8778,0.865,0.8655,0.869433333,0.6267,0.6238,0.6186,0.623033333
35,0.8719,0.8742,0.8816,0.8759,0.6233,0.6319,0.6279,0.6277
36,0.8797,0.876,0.885,0.880233333,0.6287,0.6328,0.6317,0.631066667
37,0.8779,0.8843,0.8829,0.8817,0.6307,0.6372,0.6366,0.634833333
38,0.8856,0.8879,0.8935,0.889,0.637,0.6429,0.6435,0.641133333
39,0.8857,0.8867,0.886,0.886133333,0.6392,0.6452,0.6359,0.6401
40,0.8804,0.8862,0.889,0.8852,0.6321,0.6452,0.6445,0.6406
41,0.8906,0.8848,0.8858,0.887066667,0.6471,0.6431,0.6415,0.6439
42,0.8879,0.889,0.8899,0.888933333,0.6449,0.6478,0.6445,0.645733333
43,0.8925,0.886,0.8908,0.889766667,0.6468,0.649,0.6445,0.646766667
44,0.8927,0.8883,0.8842,0.8884,0.6502,0.6474,0.6447,0.647433333
45,0.8916,0.8855,0.8949,0.890666667,0.6505,0.6465,0.6548,0.6506
46,0.8923,0.894,0.8956,0.893966667,0.6485,0.6536,0.6568,0.652966667
47,0.8926,0.8966,0.8908,0.893333333,0.6517,0.6576,0.6494,0.6529
48,0.8922,0.8903,0.8981,0.893533333,0.6511,0.6523,0.6573,0.653566667
49,0.8955,0.8947,0.8956,0.895266667,0.6532,0.6577,0.6573,0.656066667
50,0.8959,0.8955,0.9003,0.897233333,0.6551,0.6584,0.6601,0.657866667
