epoch,mAP50 (Seed=0),mAP50 (Seed=42),mAP50 (Seed=1337),mAP50 (mean),mAP50-95 (Seed=0),mAP50-95 (Seed=42),mAP50-95 (Seed=1337),mAP50-95 (mean)
1,0.75466,0.7409,0.71214,0.7359,0.5013,0.49189,0.46604,0.48641
2,0.78882,0.77483,0.75726,0.773636667,0.53754,0.51723,0.51475,0.523173333
3,0.77571,0.75701,0.78251,0.771743333,0.50982,0.49608,0.51837,0.50809
4,0.76106,0.79163,0.79021,0.780966667,0.51051,0.53511,0.53846,0.528026667
5,0.78453,0.77121,0.77541,0.77705,0.54448,0.52383,0.52507,0.531126667
6,0.8312,0.83052,0.8101,0.82394,0.57959,0.5748,0.55249,0.56896
7,0.83266,0.80253,0.82665,0.820613333,0.58833,0.57115,0.57692,0.5788
8,0.82018,0.83346,0.82007,0.82457,0.56965,0.58577,0.56725,0.574223333
9,0.75374,0.83173,0.77672,0.787396667,0.48671,0.58952,0.54431,0.54018
10,0.67318,0.82271,0.81506,0.770316667,0.44054,0.57795,0.56618,0.528223333
11,0.78483,0.84706,0.81001,0.813966667,0.51942,0.61521,0.55946,0.564696667
12,0.84682,0.85762,0.84315,0.849196667,0.60704,0.62088,0.60906,0.612326667
13,0.82746,0.84472,0.8484,0.840193333,0.59057,0.61266,0.5985,0.600576667
14,0.61889,0.74899,0.84951,0.73913,0.39965,0.5257,0.61372,0.513023333
15,0.85962,0.85117,0.86966,0.86015,0.62392,0.62078,0.63468,0.62646
16,0.86744,0.8705,0.86271,0.866883333,0.64192,0.63785,0.61809,0.63262
17,0.87055,0.87156,0.85453,0.865546667,0.63781,0.64795,0.62081,0.635523333
18,0.85912,0.82228,0.86309,0.848163333,0.63787,0.60168,0.63666,0.625403333
19,0.83817,0.86969,0.86822,0.858693333,0.60162,0.64117,0.63913,0.627306667
20,0.87435,0.87833,0.87264,0.875106667,0.6488,0.65148,0.64873,0.64967
21,0.87407,0.87989,0.87833,0.87743,0.65707,0.6573,0.65845,0.657606667
22,0.87297,0.88488,0.87918,0.87901,0.64651,0.6655,0.64852,0.65351
23,0.86266,0.86629,0.87424,0.86773,0.6432,0.64368,0.64517,0.644016667
24,0.87686,0.87863,0.87201,0.875833333,0.66196,0.66374,0.64912,0.658273333
25,0.88544,0.88245,0.8835,0.883796667,0.67266,0.66839,0.66305,0.668033333
26,0.88752,0.88496,0.88113,0.884536667,0.6668,0.66494,0.65513,0.66229
27,0.86997,0.88724,0.87754,0.87825,0.64287,0.66216,0.66184,0.655623333
28,0.89263,0.89361,0.886,0.890746667,0.66906,0.67202,0.66293,0.668003333
29,0.89391,0.88341,0.90316,0.893493333,0.68356,0.66509,0.68407,0.677573333
30,0.89465,0.89299,0.89318,0.893606667,0.68342,0.67762,0.67805,0.679696667
31,0.89038,0.8892,0.8948,0.89146,0.67557,0.67253,0.68655,0.678216667
32,0.87662,0.89356,0.89228,0.887486667,0.65834,0.68732,0.68541,0.677023333
33,0.89938,0.89863,0.90392,0.900643333,0.68843,0.68804,0.68597,0.68748
34,0.89602,0.89105,0.89515,0.894073333,0.6889,0.68665,0.68179,0.68578
35,0.89993,0.90365,0.89761,0.900396667,0.69522,0.69493,0.68436,0.691503333
36,0.90165,0.88876,0.90493,0.898446667,0.69102,0.68095,0.69465,0.688873333
37,0.90467,0.90424,0.91044,0.90645,0.69342,0.69862,0.70524,0.699093333
38,0.89931,0.90349,0.90401,0.90227,0.69741,0.69999,0.69718,0.698193333
39,0.90759,0.90232,0.9041,0.90467,0.70256,0.70113,0.70016,0.701283333
40,0.9077,0.90601,0.90655,0.906753333,0.70669,0.70556,0.7028,0.705016667
41,0.8946,0.9013,0.90342,0.899773333,0.68812,0.70275,0.69961,0.696826667
42,0.90645,0.91087,0.90839,0.90857,0.70795,0.70843,0.71205,0.709476667
43,0.90706,0.90558,0.91152,0.908053333,0.70979,0.70928,0.71168,0.71025
44,0.90578,0.91068,0.90889,0.90845,0.70955,0.71273,0.70795,0.710076667
45,0.91061,0.90729,0.91108,0.90966,0.71552,0.71444,0.71384,0.7146
46,0.90579,0.91133,0.91403,0.910383333,0.70934,0.71771,0.71967,0.715573333
47,0.91349,0.91195,0.91667,0.914036667,0.71972,0.721,0.72296,0.721226667
48,0.91323,0.91235,0.91429,0.91329,0.71971,0.72301,0.72411,0.722276667
49,0.91519,0.91664,0.91762,0.916483333,0.72355,0.72407,0.72642,0.72468
50,0.91337,0.91675,0.91772,0.915946667,0.7246,0.7279,0.72653,0.726343333
