               epoch,Precision (Seed=0),Precision (Seed=42),Precision (Seed=1337),Precision (Mean),Recall (Seed=0),Recall (Seed=42),Recall (Seed=1337),Recall (Mean),F1_score (Seed=0),F1_score (Seed=42),F1_score (Seed=1337),F1_score (Mean)
0,0.429,0.3044,0.1985,0.310633333,0.509,0.5616,0.2727,0.447766667,0.465588486,0.394806097,0.229757852,0.363384145
1,0.4446,0.6065,0.4294,0.4935,0.564,0.6528,0.6672,0.628,0.4972326,0.628798857,0.522516287,0.549515914
2,0.4114,0.5155,0.6034,0.5101,0.7823,0.6277,0.7227,0.7109,0.53922798,0.566094034,0.657683704,0.587668573
3,0.5605,0.5762,0.6596,0.598766667,0.6874,0.7542,0.7218,0.721133333,0.617497716,0.653292303,0.689299667,0.653363229
4,0.6308,0.5167,0.712,0.619833333,0.7416,0.7443,0.7704,0.7521,0.68172731,0.609960048,0.740049649,0.677245669
5,0.4951,0.5739,0.6681,0.579033333,0.7427,0.7673,0.7255,0.745166667,0.594135999,0.656655935,0.695617896,0.648803277
6,0.7058,0.7181,0.6049,0.676266667,0.7621,0.8039,0.672,0.746,0.732870332,0.75858159,0.636686976,0.709379633
7,0.6991,0.6438,0.7292,0.6907,0.7892,0.7979,0.8006,0.7959,0.741422724,0.712614303,0.763233782,0.73909027
8,0.6295,0.7022,0.7091,0.680266667,0.798,0.7787,0.7873,0.788,0.703805254,0.73847409,0.746156683,0.729478676
9,0.6238,0.7526,0.7148,0.697066667,0.7075,0.7848,0.7693,0.753866667,0.663018854,0.768362794,0.741049309,0.724143652
10,0.7276,0.7512,0.7272,0.735333333,0.7631,0.8183,0.76,0.780466667,0.744927296,0.783315655,0.7432383,0.757160417
11,0.7127,0.7168,0.7615,0.730333333,0.7639,0.7422,0.8386,0.781566667,0.737412339,0.729278903,0.798192488,0.754961243
12,0.7836,0.7237,0.7333,0.746866667,0.8205,0.8019,0.8243,0.815566667,0.801625584,0.760795792,0.776141744,0.77952104
13,0.7407,0.7378,0.6863,0.7216,0.8248,0.8351,0.6943,0.784733333,0.780491038,0.783440498,0.690276822,0.751402786
14,0.7418,0.7919,0.8083,0.780666667,0.7906,0.8022,0.8208,0.804533333,0.765422971,0.797016724,0.814502044,0.792313913
15,0.7578,0.7794,0.7663,0.767833333,0.8451,0.8278,0.809,0.8273,0.799072656,0.802871229,0.787071288,0.796338391
16,0.7209,0.7495,0.7648,0.745066667,0.7997,0.8169,0.8479,0.8215,0.758258227,0.781749936,0.804208991,0.781405718
17,0.7874,0.782,0.719,0.7628,0.8543,0.8304,0.7557,0.813466667,0.819486898,0.80547358,0.736893334,0.787284604
18,0.7672,0.7862,0.6997,0.751033333,0.8211,0.8411,0.7705,0.8109,0.793235434,0.812723923,0.733395252,0.77978487
19,0.8132,0.6436,0.7693,0.742033333,0.8261,0.65,0.8569,0.777666667,0.819599244,0.646784168,0.810740585,0.759041332
20,0.7683,0.6422,0.774,0.728166667,0.8484,0.6086,0.856,0.771,0.806365708,0.624948705,0.812937423,0.748083945
21,0.7642,0.7028,0.7567,0.741233333,0.8388,0.6642,0.8613,0.7881,0.799764142,0.682955026,0.805618925,0.762779364
22,0.7503,0.8023,0.7861,0.779566667,0.7927,0.8309,0.8537,0.825766667,0.770917447,0.816349584,0.818506611,0.801924547
23,0.7611,0.7937,0.7886,0.781133333,0.8651,0.8354,0.8405,0.847,0.809774456,0.814016303,0.813723283,0.812504681
24,0.7933,0.8004,0.7861,0.793266667,0.845,0.809,0.8528,0.8356,0.818334249,0.804677022,0.818092721,0.813701331
25,0.7789,0.6971,0.7851,0.7537,0.8445,0.6613,0.8507,0.7855,0.810374584,0.678728254,0.816584631,0.76856249
26,0.7659,0.7589,0.8058,0.776866667,0.872,0.7452,0.8458,0.821,0.815513523,0.751987607,0.825315621,0.797605584
27,0.7895,0.7741,0.7993,0.787633333,0.8594,0.8241,0.8596,0.8477,0.822968403,0.79831787,0.828354066,0.81654678
28,0.8049,0.8148,0.7624,0.794033333,0.8492,0.8356,0.8234,0.836066667,0.82645678,0.825068929,0.791726775,0.814417495
29,0.776,0.765,0.7358,0.758933333,0.858,0.8185,0.8269,0.834466667,0.814942472,0.790846227,0.778694593,0.794827764
30,0.7891,0.755,0.8103,0.7848,0.8628,0.8282,0.8462,0.845733333,0.824305927,0.789907782,0.827860984,0.814024897
31,0.6733,0.7947,0.7869,0.751633333,0.7611,0.857,0.8396,0.819233333,0.714512869,0.824675062,0.812396237,0.78386139
32,0.7588,0.7969,0.7409,0.765533333,0.809,0.8555,0.7225,0.795666667,0.783096313,0.825160917,0.731584324,0.779947185
33,0.819,0.801,0.7744,0.798133333,0.8344,0.8553,0.8615,0.8504,0.826628281,0.827259917,0.815631273,0.823173157
34,0.7788,0.8006,0.8108,0.796733333,0.8782,0.86,0.8569,0.865033333,0.8255186,0.829237625,0.833212832,0.829323019
35,0.818,0.8003,0.8103,0.809533333,0.8526,0.8643,0.8694,0.8621,0.834941698,0.831069674,0.838810288,0.834940553
36,0.7974,0.8026,0.8115,0.803833333,0.866,0.8724,0.8506,0.863,0.830285439,0.83604566,0.830590097,0.832307065
37,0.8165,0.8365,0.8075,0.820166667,0.8674,0.8503,0.8851,0.8676,0.841180711,0.84334355,0.844521151,0.843015137
38,0.8127,0.8343,0.8145,0.8205,0.8633,0.845,0.8532,0.853833333,0.837236169,0.839615911,0.833400971,0.836751017
39,0.8002,0.8141,0.8205,0.8116,0.8769,0.8727,0.8582,0.869266667,0.836796112,0.842382108,0.838926669,0.839368297
40,0.8045,0.816,0.7997,0.806733333,0.8887,0.8559,0.8785,0.874366667,0.844506438,0.835473892,0.83724997,0.839076767
41,0.8185,0.8135,0.8297,0.820566667,0.8677,0.8558,0.8572,0.860233333,0.84238222,0.83411406,0.843225846,0.839907375
