               epoch,Precision (Seed=0),Precision (Seed=42),Precision (Seed=1337),Precision (Mean),Recall (Seed=0),Recall (Seed=42),Recall (Seed=1337),Recall (Mean),F1_score (Seed=0),F1_score (Seed=42),F1_score (Seed=1337),F1_score (Mean)
0,0.66472,0.68589,0.67467,0.675093333,0.72613,0.65843,0.68081,0.688456667,0.694069287,0.671879542,0.677726094,0.681224974
1,0.72825,0.71326,0.65258,0.69803,0.74211,0.74137,0.74276,0.74208,0.735114676,0.727043394,0.69475586,0.71897131
2,0.75008,0.68582,0.70519,0.713696667,0.73821,0.77329,0.76947,0.760323333,0.744097665,0.726933196,0.735929027,0.735653296
3,0.73476,0.7271,0.71847,0.726776667,0.75384,0.77158,0.759,0.761473333,0.744177722,0.748679929,0.73817909,0.743678914
4,0.74013,0.69996,0.75464,0.731576667,0.78767,0.79957,0.77247,0.78657,0.763160358,0.746456579,0.763450912,0.757689283
5,0.76619,0.73408,0.76586,0.755376667,0.81418,0.81539,0.43299,0.68752,0.78945636,0.772601588,0.553213031,0.705090327
6,0.74658,0.74304,0.773,0.754206667,0.78447,0.74801,0.80713,0.77987,0.765056154,0.745516717,0.789696405,0.766756425
7,0.77266,0.74863,0.75601,0.7591,0.81521,0.78062,0.80567,0.8005,0.793364896,0.764290405,0.780050429,0.779235243
8,0.75273,0.69089,0.75124,0.73162,0.8194,0.57568,0.82515,0.740076667,0.784651348,0.628045122,0.786462342,0.733052938
9,0.75839,0.71096,0.73551,0.734953333,0.82248,0.65273,0.8332,0.76947,0.789135865,0.68060178,0.781313222,0.750350289
10,0.73099,0.75278,0.77628,0.75335,0.7265,0.83381,0.82554,0.795283333,0.728738084,0.791225826,0.800152565,0.773372159
11,0.80623,0.77702,0.77193,0.78506,0.80953,0.80854,0.7765,0.79819,0.80787663,0.7924667,0.774208256,0.791517196
12,0.66075,0.73478,0.64492,0.68015,0.75859,0.84324,0.7272,0.776343333,0.706297776,0.78528268,0.683593015,0.725057824
13,0.71972,0.70841,0.80801,0.74538,0.44688,0.69158,0.82079,0.653083333,0.551394606,0.699893839,0.814349862,0.688546102
14,0.7811,0.80512,0.76885,0.785023333,0.81614,0.83196,0.83927,0.829123333,0.798235649,0.818319978,0.802518145,0.806357924
15,0.81142,0.77574,0.79392,0.793693333,0.8185,0.80731,0.84291,0.822906667,0.814944623,0.791210207,0.817681869,0.807945567
16,0.78641,0.76646,0.76232,0.77173,0.8315,0.85002,0.80077,0.82743,0.808326687,0.806080285,0.78107209,0.79849302
17,0.80282,0.77569,0.80295,0.79382,0.84935,0.83963,0.84243,0.843803333,0.825429789,0.806394516,0.822216349,0.818013551
18,0.81277,0.82784,0.81723,0.81928,0.82561,0.8208,0.8213,0.82257,0.819139686,0.824304969,0.819259945,0.820901534
